depth, y, x
 -3623, 138.05480957034405, 42.31860005620895
 -3606, 138.34045410159396, 42.44844067160426
 -3648, 138.84582519534382, 42.642697981862177
 -3512, 138.93371582034382, 42.99726574937052
 -2636, 138.75793457034385, 43.269856774034338
 -2290, 139.24133300784371, 43.317834927535884
 -2615, 139.39514160159371, 42.868567281769387
 -2723, 139.39514160159371, 42.497061665990501
 -2840, 139.32922363284371, 42.26984060581173
 -2419, 139.28527832034371, 41.943813269408615
 -1655, 139.39514160159371, 41.616110251304271
 -2271, 138.84582519534382, 41.517472905205125
 -3701, 138.25256347659399, 41.533922919866541
 -3611, 137.57141113284416, 41.533922919866541
 -3618, 137.50549316409416, 41.435160106126247
 -3155, 137.24182128909425, 40.85604627063693
554, 137.8570556640941, 35.344983892057328
 -990, 141.90002441409302, 41.501018708431957
